id,tier,signal,transform,target,expected_sign,freq,latency,lags,n,best_lag,r,beta,spearman,perm_p,maxstat_p,bh_q,sign_ok,survives_bh05,circ_p,yearshuffle_p,r_partial,p_partial,r_train,r_test,p_test,oos_same_sign,r_by_lag,sample_start,sample_end,circ_n_shifts,train_n,test_n,train_lag,split,lag_partial
Z1_z,market,zambia_itt_area,z,HG=F,-1,M,1,"[1, 2, 3]",213,3,-0.05262695057275254,-0.0025053815795812373,-0.043932436090711076,0.47155284471552844,0.7626237376262374,0.9961003899610039,True,False,0.6294642857142857,0.7145285471452855,-0.06600610902450492,0.5701429857014298,-0.009978896457763071,0.030661257609389325,0.6205379462053795,False,"[-0.021, -0.028, -0.0526]",2007-04-01,2026-08-01,223,129,86,1,2019-05-01,2.0
Z1_dz3,market,zambia_itt_area,dz3,HG=F,-1,M,1,"[1, 2, 3]",197,2,0.03665763241658591,0.0018381169240883756,0.03845248297750111,0.6242375762423757,0.9273072692730727,0.9961003899610039,False,False,0.8597285067873304,0.888011198880112,-0.023349640525905872,0.9779022097790221,-0.06784485966363621,0.12521108189289346,0.8723127687231277,False,"[0.0039, 0.0367, -0.0004]",2007-07-01,2026-08-01,220,118,80,1,2019-11-01,2.0
Z2_z,market,zambia_itt_area,z,FM.TO-^GSPTSE,1,M,1,"[1, 2, 3]",213,3,-0.027225113891295675,-0.0029597945039498133,-0.021285711092511688,0.6908309169083092,0.944905509449055,0.9961003899610039,False,False,0.9375,0.9192080791920808,-0.04815206319367821,0.7561243875612439,0.01641796545445272,-0.029547846115294686,0.5634436556344365,False,"[-0.0238, -0.0193, -0.0272]",2007-04-01,2026-08-01,223,129,85,2,2019-05-01,2.0
Z2_dz3,market,zambia_itt_area,dz3,FM.TO-^GSPTSE,1,M,1,"[1, 2, 3]",196,3,0.024338242168253248,0.002829775673316141,-0.0062124967128592955,0.7332266773322668,0.9727027297270273,0.9961003899610039,True,False,0.9276018099547512,0.9603039696030397,-0.0534813311214616,0.7809219078092191,-0.06926026556093054,0.09678453310181896,0.7872212778722127,False,"[-0.0115, -0.0073, 0.0243]",2007-07-01,2026-08-01,220,118,79,2,2019-11-01,2.0
Z3_z,market,zambia_itt_area,z,USDZMW,-1,M,1,"[1, 2, 3]",154,3,0.03029320648758205,0.001267700628859043,0.05612591077486714,0.7054294570542946,0.9488051194880512,0.9961003899610039,False,False,0.9870967741935484,0.938906109389061,0.042849781399483415,0.8837116288371163,-0.15911425577959518,0.08009094820010856,0.7181281871812819,False,"[0.019, -0.0286, 0.0303]",2013-01-01,2026-08-01,154,93,62,2,2021-04-01,3.0
Z3_dz3,market,zambia_itt_area,dz3,USDZMW,-1,M,1,"[1, 2, 3]",150,2,-0.14872082026900796,-0.006362029036763207,-0.20631494733099248,0.07649235076492351,0.17418258174182583,0.9961003899610039,True,False,0.16129032258064516,0.22657734226577342,-0.13223690342615974,0.24957504249575044,-0.1653774241066485,0.0023039614830452763,0.5006499350064993,False,"[-0.0667, -0.1487, -0.1181]",2013-01-01,2026-08-01,154,90,59,3,2021-06-01,2.0
U1_z,market,uswest_area,z,NG=F,-1,M,1,"[1, 2, 3]",244,3,0.05756663908538478,0.010174922607489497,0.04147388159878401,0.31796820317968205,0.5604439556044396,0.9961003899610039,False,False,0.2711864406779661,0.461053894610539,0.04949047448323291,0.6614338566143385,0.06485594213964241,0.022342213829862904,0.39736026397360263,True,"[0.0353, 0.0463, 0.0576]",2006-01-01,2026-05-01,235,147,98,2,2018-04-01,3.0
U1_dz3,market,uswest_area,dz3,NG=F,-1,M,1,"[1, 2, 3]",242,2,-0.06823146295563323,-0.023241320390964302,-0.0751320574028986,0.2546745325467453,0.5297470252974702,0.9961003899610039,True,False,0.47639484978540775,0.42685731426857315,-0.07142257150703751,0.502049795020498,-0.09801641278536806,0.05052431413339958,0.6973302669733027,False,"[-0.0662, -0.0682, -0.0316]",2006-04-01,2026-05-01,232,145,96,3,2018-05-01,2.0
U2_z,market,uswest_area,z,PCG-XLU,1,M,1,"[1, 2, 3]",245,2,-0.11858683473131894,-0.015566893918260173,-0.1158679385388702,0.055594440555944404,0.1274872512748725,0.9652606167954633,False,False,0.3432203389830508,0.0852914708529147,-0.11390810267546288,0.1598840115988401,-0.22511630403599892,-0.1164620793976613,0.10688931106889311,True,"[-0.1044, -0.1186, -0.0966]",2006-01-01,2026-05-01,235,147,98,2,2018-04-01,2.0
U2_dz3,market,uswest_area,dz3,PCG-XLU,1,M,1,"[1, 2, 3]",241,3,0.030799805979179366,0.007797176133012706,0.056646719934158644,0.6467353264673532,0.9254074592540746,0.9961003899610039,True,False,0.9141630901287554,0.9298070192980702,0.03750675810004138,0.8784121587841216,0.06374769870718015,0.030199567564585805,0.40555944405559446,True,"[-0.0038, -0.027, 0.0308]",2006-04-01,2026-05-01,232,145,96,3,2018-05-01,3.0
U3_z,market,uswest_area,z,EIX-XLU,1,M,1,"[1, 2, 3]",244,3,-0.057408198767888885,-0.0034834483885171886,-0.03222515478565439,0.3301669833016698,0.5945405459454055,0.9961003899610039,False,False,0.3516949152542373,0.41705829417058293,-0.054303017812244864,0.6084391560843916,0.020968502273089742,-0.12583501070530856,0.9042095790420958,False,"[-0.0412, -0.0564, -0.0574]",2006-01-01,2026-05-01,235,147,97,3,2018-04-01,3.0
U3_dz3,market,uswest_area,dz3,EIX-XLU,1,M,1,"[1, 2, 3]",242,1,0.03596420236274826,0.003968123768367435,0.047597395642158626,0.53994600539946,0.8712128787121288,0.9961003899610039,True,False,0.8369098712446352,0.7721227877212279,0.04605550738202611,0.7709229077092291,-0.07566491673360926,0.06733656195055056,0.7559244075592441,False,"[0.036, 0.0012, 0.0125]",2006-04-01,2026-05-01,232,145,97,2,2018-05-01,1.0
G1_z,market,brazil_ear_seco,z,AXIA3.SA-^BVSP,1,M,0,"[1, 2, 3]",245,3,-0.05024916051114582,-0.003299613917078913,-0.027903940464630482,0.42815718428157185,0.7081291870812919,0.9961003899610039,False,False,0.5330578512396694,0.6252374762523748,-0.04736281130920227,0.7351264873512648,0.02940606858739628,-0.09562186580784399,0.8725127487251275,False,"[-0.0039, -0.0312, -0.0502]",2006-01-01,2026-09-01,241,148,99,1,2018-05-01,3.0
G1_dz3,market,brazil_ear_seco,dz3,AXIA3.SA-^BVSP,1,M,0,"[1, 2, 3]",242,3,0.09039704543572173,0.011453642790346809,0.07218714662446588,0.15008499150084992,0.32196780321967805,0.9961003899610039,True,False,0.21338912133891214,0.34726527347265274,0.09428328643243604,0.29317068293170684,0.10311296486170532,0.008605569713462827,0.46665333466653336,True,"[0.0888, 0.064, 0.0904]",2006-04-01,2026-09-01,238,146,96,3,2018-06-01,1.0
G2_z,market,brazil_ear_seco,z,ENEV3.SA-^BVSP,-1,M,0,"[1, 2, 3]",224,1,0.08097325435996355,0.008946278125315496,0.058842622250694004,0.2990700929907009,0.46505349465053497,0.9961003899610039,False,False,0.4520547945205479,0.5431456854314568,0.08120326987002824,0.44295570442955706,0.10811536820112817,-0.12720988299745525,0.8674132586741325,False,"[0.081, 0.0537, 0.0485]",2007-12-01,2026-09-01,218,134,90,1,2019-02-01,1.0
G2_dz3,market,brazil_ear_seco,dz3,ENEV3.SA-^BVSP,-1,M,0,"[1, 2, 3]",222,3,-0.10851769948148024,-0.021611350302855752,-0.06988046423551568,0.11728827117288271,0.24467553244675533,0.9961003899610039,True,False,0.2054794520547945,0.22767723227677233,-0.09322967413155205,0.32786721327867213,-0.13637294605784564,0.007510720692098964,0.5257474252574742,False,"[0.0368, -0.0778, -0.1085]",2007-12-01,2026-09-01,218,134,88,3,2019-02-01,3.0
