id,placebo_signal,target,tier,n,best_lag,r,maxstat_p
U3_dz3,placebo_toktogul,EIX-XLU,market,212,2,0.1317187048912594,0.12038796120387961
P1,placebo_argyle,d3_EAR_SECO_anom,physical,218,1,-0.1150660696252254,0.37816218378162186
P1,placebo_guri,d3_EAR_SECO_anom,physical,189,0,-0.09501978059949615,0.48695130486951305
P1,placebo_volta,d3_EAR_SECO_anom,physical,95,1,0.1706104594579997,0.3247675232476752
P1,placebo_toktogul,d3_EAR_SECO_anom,physical,214,1,0.34164746930737533,0.00039996000399960006
P2,placebo_argyle,d3_logCMO_SE,physical,218,1,0.10259245367269594,0.43785621437856215
P2,placebo_guri,d3_logCMO_SE,physical,189,0,0.218591195121376,0.038196180381961806
P2,placebo_volta,d3_logCMO_SE,physical,96,0,0.09741599239766922,0.7222277772222778
P2,placebo_toktogul,d3_logCMO_SE,physical,214,1,-0.2031492364330829,0.0494950504949505
P3,placebo_argyle,d3_thermal_share_SIN,physical,218,2,0.22394817895624033,0.028597140285971403
P3,placebo_guri,d3_thermal_share_SIN,physical,189,0,0.08186489688706991,0.6341365863413658
P3,placebo_volta,d3_thermal_share_SIN,physical,96,0,-0.05696027949634408,0.9133086691330867
P3,placebo_toktogul,d3_thermal_share_SIN,physical,214,1,-0.14724140309945144,0.197980201979802
P5,placebo_argyle,d3_WECC_hydro_anom,physical,80,0,-0.31860454926467024,0.0491950804919508
P5,placebo_guri,d3_WECC_hydro_anom,physical,85,0,0.061489485606134056,0.901009899010099
P5,placebo_volta,d3_WECC_hydro_anom,physical,62,1,-0.06856188594974862,0.9363063693630637
P5,placebo_toktogul,d3_WECC_hydro_anom,physical,95,0,0.2505367286324522,0.09669033096690331
P6,placebo_argyle,d3_WECC_fossil_anom,physical,80,0,0.3509428877187311,0.026997300269973004
P6,placebo_guri,d3_WECC_fossil_anom,physical,84,1,-0.17478879809544187,0.30656934306569344
P6,placebo_volta,d3_WECC_fossil_anom,physical,62,1,-0.042000031381773203,0.9816018398160185
P6,placebo_toktogul,d3_WECC_fossil_anom,physical,93,2,-0.21049557555421286,0.1937806219378062
F1,algeria_flare,BZ=F,market,596,4,-0.07157147425990414,0.29057094290570945
R1,danube_stress,BAS.DE-^GDAXI,market,1026,2,0.04269079951095765,0.5198480151984801
R1,loire_stress,BAS.DE-^GDAXI,market,1027,1,-0.05676124542221634,0.23787621237876214
