plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel
55453,245.0,10.65334699453552,0.8949225865209471,,,,Fountain Valley Power Facility,CO,38.5569,-104.6875,gas
55518,879.0,543.4614071038251,0.2855191256830601,RI,MW,1.0,High Desert Power Plant,CA,34.5953,-117.3647,gas
880031,,0.0,,,,,The Dow Chemical Company,MI,43.6025,-84.2404,
880083,,0.0,,,,,Lima Refinery,OH,40.7234,-84.1133,
7237,377.0,28.67053734061931,0.8313979963570127,,,,Angus Anson,SD,43.60347,-96.6356,gas
7903,100.0,12.771288706739526,0.7931466302367942,,,,McCartney,MO,37.248431,-93.170839,gas
55264,25.0,0.23383424408014572,0.9871357012750456,,,,Napoleon Peaking Station,OH,41.4079,-84.1095,gas
6058,78.0,2.9356785063752278,0.9093806921675774,,,,Cascade Creek,MN,44.0322,-92.4908,gas
6223,258.0,16.295878870673953,0.6747495446265938,,,,Empire Energy Center,MO,37.1385,-94.1041,gas
6249,1193.0,475.1584699453552,0.007627504553734062,"RC,RI",MW,4.0,Winyah,SC,33.33184,-79.357236,coal
59784,599.0,376.44398907103823,0.06454918032786885,RI,MW,1.0,Gila River Power Block 3,AZ,32.975,-112.6944,gas
10190,76.0,10.15926684881603,0.8211520947176685,,,,Castleton Energy Center,NY,42.5375,-73.7433,gas
10464,,0.0,,,,,ReEnergy Black River,NY,44.03647,-75.77204,
10603,60.0,47.02766393442623,0.09437613843351549,,,,Ebensburg Power,PA,40.455,-78.7472,coal
10650,46.0,1.6253415300546448,0.9533242258652095,,,,Badger Creek Limited,CA,35.483736,-119.029856,gas
10725,406.0,12.265482695810565,0.9454690346083788,RI,MW,2.0,Selkirk Cogen,NY,42.5744,-73.8592,gas
54556,,0.0,,,,,Ingredion Incorporated,IL,41.7775,-87.8233,gas
389,279.0,123.89560564663023,0.0,RI,MW,3.0,El Centro Hybrid,CA,32.802222,-115.54,gas
2103,2591.0,1730.199339708561,0.0025045537340619307,ON,,4.0,Labadie,MO,38.562244,-90.837686,coal
2098,151.0,8.49146174863388,0.7538706739526412,"ON,RI",MW,4.0,Lake Road (MO),MO,39.7246,-94.8773,gas
7345,,0.0,,,,,University of Florida,FL,29.640278,-82.348611,gas
7697,160.0,125.88069216757741,0.08173952641165756,,,,Washington County Cogeneration Facility,AL,31.3,-88.0156,gas
50815,613.0,413.18317395264114,0.0,RI,MW,1.0,Optim Energy Altura Cogen LLC,TX,29.8161,-95.10773,gas
50744,41.0,0.31489071038251365,0.9885018214936248,,,,Sterling Power Plant,NY,43.080338,-75.600963,gas
593,659.0,43.012864298724956,0.7840391621129326,ON,,3.0,Edge Moor,DE,39.73886,-75.50384,gas
594,427.0,23.564093806921676,0.9000455373406193,RI,MW,1.0,Indian River Generating Station,DE,38.5857,-75.2341,coal
621,1362.0,810.9188296903461,0.07593351548269581,"RI,RC",MW,2.0,Turkey Point,FL,25.4356,-80.3308,nuclear
4076,107.0,3.909266848816029,0.9319216757741348,,,,West Marinette,WI,45.0869,-87.6881,gas
4195,56.0,1.604280510018215,0.9363615664845173,,,,Powerlane Plant,TX,33.1707,-96.1264,oil
7343,700.0,95.37659380692168,0.7748178506375227,ON,,1.0,George Neal South,IA,42.3006,-96.3617,coal
55293,856.0,512.333674863388,0.1413934426229508,RI,MW,1.0,Morgan Energy Center,AL,34.6397,-87.0639,gas
56253,83.0,18.616234061930783,0.6572176684881603,,,,Millcreek Power Generation,UT,37.112092,-113.516581,gas
50449,58.0,7.354166666666667,0.8235428051001822,,,,Indeck Silver Springs Energy Center,NY,42.6544,-78.0772,gas
