lat,lon,enh_umol_m2,ndays,gppd_mw_within_25km,gppd_names,city_within_30km,orphan
20.627,39.617,39.4,570,7984.7,SHAIBA (SEC); SHAIBA,,False
37.288,37.203,39.4,448,0.0,,Gaziantep(2222k),False
25.807,50.118,38.4,547,10444.0,Hajr for Electricity Production Co. Station; QURAYYAH- CC; QURAYYAH -STEAM,,False
38.547,44.938,37.9,404,348.0,Khuy,Khūy(198k),False
30.987,46.267,37.9,539,0.0,,Nasiriyah(558k),False
29.447,60.828,37.8,531,100.0,Zahedan,Zahedan(551k),False
37.148,42.698,37.8,454,1000.0,Duhok,Silopi(114k),False
38.337,37.028,37.5,383,2795.0,Afşin Elbistan Termik Santrali,,False
35.782,43.293,37.3,491,0.0,,,True
37.568,36.958,37.2,429,0.0,,Kahramanmaraş(384k),False
17.582,44.273,37.1,530,486.97,NAJRAN,Najrān(505k),False
37.008,35.312,36.6,411,0.0,,Adana(1816k),False
31.968,44.973,34.8,534,0.0,,Al Diwaniyah(318k),False
35.117,48.858,34.2,460,100.0,Shahid Mofateh,,False
31.932,44.727,33.9,534,0.0,,Al Diwaniyah(318k),False
37.462,57.328,33.8,479,0.0,,Bojnūrd(192k),False
38.233,48.263,33.6,394,0.0,,Ardabīl(410k),False
37.638,49.068,32.9,303,930.0,Paresar,,False
33.822,36.712,32.8,521,384.0,Al Nasryeh (Nasserieh) OCGT Power Plant Syria,,False
18.247,42.593,32.7,426,695.8199999999999,ASIR,Khamis Mushait(387k); Abha(210k),False
36.797,53.267,31.4,396,2214.6,Neka (Shahid Salimi); Shahid Salimi,,False
27.523,35.663,31.0,571,185.0,DUBA,,False
38.337,38.288,30.5,389,0.0,,Malatya(750k),False
17.722,42.208,29.5,520,1930.7999999999997,SHUQAIQ IWPP; SHUAIBA (SWCC),,False
17.022,54.002,29.3,406,0.0,,Şalālah(163k),False
23.812,53.653,28.6,566,0.0,,,True
32.422,48.367,28.1,506,0.0,,Dezful(264k); Andīmeshk(135k),False
36.657,48.508,27.0,427,0.0,,Zanjan(357k),False
25.352,49.593,26.6,558,0.0,,Al Hufūf(293k); Al Mubarraz(290k),False
29.447,55.718,26.1,505,0.0,,Sirjan(199k),False
37.498,61.843,26.0,503,1685.0,Mary Thermal Power Plant Turkmenistan,Mary(167k),False
38.653,39.233,25.9,406,0.0,,Elazığ(443k),False
37.078,47.948,25.9,460,0.0,,,True
34.417,36.818,25.8,498,700.0,Jandar CCGT Power Plant Syria,,False
31.688,47.282,25.7,532,0.0,,Al ‘Amārah(323k),False
37.428,46.023,25.2,433,650.0,Sahand,Marāgheh(262k),False
37.917,40.178,25.2,423,0.0,,Diyarbakır(1833k),False
36.623,51.693,25.1,269,0.0,,Chālūs(107k),False
32.352,50.888,25.1,483,0.0,,Shahr-e Kord(129k),False
37.218,55.193,24.9,383,0.0,,Gonbad-e Kāvūs(151k),False
36.623,51.448,24.8,222,0.0,,Chālūs(107k),False
25.352,60.793,24.7,565,64.0,Chahbahar (Kenarak),,False
27.102,49.172,24.6,549,1859.0,Wasit Gas Plant; Khursaniyah,,False
37.148,38.812,24.6,457,146.0,Şanlıurfa OSB Enerji Santrali,Şanlıurfa(449k),False
35.678,44.097,24.2,479,542.0,DIBIS; Mulla Abdulla (New),,False
25.633,49.523,23.8,561,1597.2,SHEDGUM; SHEDGUM CO-GENERATION GAS PLANT,Al Mubarraz(290k),False
38.267,57.642,23.5,431,0.0,,,True
38.477,38.778,23.5,390,0.0,,,True
34.417,60.373,23.4,530,0.0,,,True
33.402,43.328,23.3,543,0.0,,Ramadi(223k),False
35.992,49.593,23.3,476,0.0,,,True
34.032,44.028,23.1,530,0.0,,Sāmarrā’(158k),False
30.078,51.588,23.0,493,0.0,,,True
20.382,45.183,22.8,586,0.0,,,True
38.407,45.778,22.6,427,0.0,,Marand(124k),False
36.972,46.127,21.5,453,0.0,,Mīāndoāb(134k),False
33.752,37.062,21.4,538,0.0,,,True
33.332,43.818,21.2,537,0.0,,Al Fallūjah(190k),False
31.197,45.323,20.9,548,0.0,,As Samawah(152k),False
33.718,44.657,20.3,523,0.0,,Baqubah(152k),False
39.913,41.263,19.8,368,0.0,,Erzurum(767k),False
37.428,47.703,19.6,450,0.0,,Mīāneh(106k),False
30.358,56.032,19.4,516,0.0,,Rafsanjān(147k),False
38.513,48.648,19.0,254,87.0,Astara ES,,False
37.042,41.227,18.8,455,0.0,,Al Qāmishlī(184k),False
35.117,36.782,18.3,472,1290.0,Al-Zara Thermal Power Plant Syria; Mehardeh Thermal Power Plant Syria,Ḩamāh(460k),False
30.672,51.588,18.3,442,0.0,,,True
36.447,54.948,18.3,497,0.0,,Shahrud(165k),False
22.622,59.428,17.8,573,0.0,,,True
35.328,59.252,17.8,485,0.0,,Torbat-e Ḩeydarīyeh(140k),False
36.167,54.282,17.7,522,0.0,,,True
37.883,41.157,17.7,435,0.0,,Batman(452k),False
27.837,48.648,17.6,551,75.0,SAFANIYAH,,False
35.362,34.017,17.4,456,0.0,,,True
26.997,55.543,17.3,557,0.0,,,True
36.797,50.818,17.2,264,0.0,,,True
31.688,55.473,17.2,531,0.0,,,True
28.712,57.748,16.9,522,0.0,,Jīroft(130k),False
31.758,35.242,16.8,471,70.0,Atarot,Jerusalem(971k); East Jerusalem(428k),False
28.152,35.138,16.8,567,0.0,,,True
24.197,55.752,16.7,564,0.0,,Al Ain City(846k),False
12.892,44.938,16.5,557,294.0,Al Mansoura; Al Hiswa; Khormaksar,Aden(1079k),False
17.302,42.453,16.5,543,0.0,,Şabyā(228k),False
34.242,41.227,16.5,538,0.0,,,True
36.237,57.678,16.4,491,0.0,,Sabzevar(243k),False
27.487,49.172,16.3,527,1460.0,RAS Al Khair,,False
36.517,46.233,16.2,456,0.0,,Būkān(193k); Saqqez(165k),False
32.142,35.593,16.0,500,0.0,,Ḩayy Khildā(251k); Wādī as Sīr(181k),False
38.477,43.398,16.0,438,0.0,,Van(525k),False
25.877,49.698,16.0,557,162.0,ABQ PP,,False
31.968,51.833,15.8,516,0.0,,Shahreẕā(134k),False
30.777,56.627,15.8,505,60.0,Zarand,,False
24.652,47.528,15.6,553,0.0,,,True
30.392,50.782,15.6,496,0.0,,,True
39.562,54.318,15.4,460,174.0,Balkanabat OCGT Power Plant Turkmenistan,,False
31.233,37.447,15.2,550,532.7,AL-QURAYYAT,Qurayyat(102k),False
39.318,44.448,15.2,380,0.0,,,True
32.877,59.252,15.2,507,0.0,,Bīrjand(196k),False
22.552,54.073,15.1,580,0.0,,,True
39.703,36.992,15.1,344,0.0,,Sivas(264k),False
21.432,40.492,15.1,518,126.6,TAIF,Ta’if(688k),False
38.197,44.763,14.9,435,0.0,,,True
14.607,49.102,14.9,557,0.0,,Mukalla(594k),False
14.817,49.102,14.8,546,0.0,,,True
39.038,63.558,14.6,483,0.0,,Türkmenabat(230k),False
24.898,34.682,14.6,571,0.0,,,True
16.742,43.117,14.6,468,0.0,,,True
24.758,45.602,14.6,546,3811.6000000000004,Riyadh 12; Riyadh 11,,False
29.343,34.998,14.6,557,685.0,Aqaba Thermal Power Plant Jordan; Eliat,,False
33.928,48.752,14.5,437,0.0,,Borūjerd(251k),False
36.657,44.553,14.4,434,0.0,,,True
30.637,50.293,14.4,516,0.0,,Behbahān(122k),False
24.267,37.623,14.4,567,0.0,,,True
33.718,59.148,14.3,508,0.0,,,True
37.953,34.682,14.1,407,0.0,,,True
31.127,36.153,14.1,552,373.0,Al Qatrana CCGT Power Plant Jordan,,False
39.913,48.928,14.1,373,780.0,Janub,,False
33.998,42.453,13.9,531,0.0,,,True
28.082,57.818,13.8,549,484.0,Shobaad,,False
19.297,41.788,13.6,503,0.0,,,True
19.122,41.227,13.4,549,742.7500000000001,TIHAMA,,False
34.977,43.538,13.3,510,1320.0,Baiji; Baiji,Bayjī(173k),False
36.237,46.267,13.3,421,0.0,,Saqqez(165k),False
33.928,50.713,13.3,492,0.0,,,True
36.972,45.392,13.2,444,0.0,,,True
25.142,52.883,13.1,517,0.0,,,True
33.472,49.102,13.1,464,0.0,,Dorūd(121k),False
29.307,51.237,13.0,529,0.0,,Borāzjān(110k),False
33.542,42.558,12.9,549,0.0,,,True
19.297,37.237,12.9,519,0.0,,,True
32.492,45.848,12.9,531,0.0,,Al-Kut(315k),False
34.697,36.712,12.9,479,64.0,Homs Refinery Cogen Power Plant Syria,Homs(775k),False
39.983,44.553,12.6,398,821.0,Yerevan; New Yerevan,Yerevan(1144k); Malatia-Sebastia(150k),False
24.828,53.653,12.4,536,0.0,,,True
26.578,53.968,12.3,526,159.0,Kish,,False
39.947,44.062,12.1,416,0.0,,Iğdır(101k),False
36.483,40.773,11.9,488,0.0,,Al Ḩasakah(422k),False
39.913,40.668,11.9,384,0.0,,,True
13.417,44.727,11.9,492,0.0,,,True
33.648,46.407,11.9,444,0.0,,Īlām(140k),False
31.442,34.578,11.9,515,3090.0,Rutenberg; Dorad,Gaza(410k); Beersheba(186k),False
38.898,41.578,11.9,390,0.0,,,True
29.517,50.782,11.6,534,484.0,Genevah,,False
36.203,36.748,11.5,476,0.0,,,True
39.737,39.477,11.5,368,0.0,,Erzincan(150k),False
35.922,39.023,11.5,499,0.0,,Ar Raqqah(531k),False
24.862,53.093,11.3,522,0.0,,,True
35.188,35.977,11.2,420,728.0,Banias Thermal Power Plant Syria; Banias (Baniyas) Refinery Thermal Power Plant,,False
34.278,48.823,11.2,435,0.0,,Malāyer(170k),False
27.942,55.998,11.0,537,0.0,,,True
34.593,43.712,10.9,523,0.0,,,True
32.492,52.428,10.8,520,0.0,,,True
32.807,35.068,10.8,493,2257.0,Hagit; Haifa (CCGT); Haifa,Haifa(285k),False
31.372,49.698,10.7,513,0.0,,,True
31.023,51.237,10.6,448,0.0,,,True
36.763,45.742,10.4,440,0.0,,Mahābād(168k),False
35.258,58.448,10.4,500,0.0,,Kāshmar(131k),False
38.862,45.638,10.4,456,0.0,,,True
36.237,36.153,10.3,464,0.0,,Antakya(399k); Samandağ(123k),False
31.093,45.078,10.3,559,0.0,,,True
18.562,45.323,10.1,586,0.0,,,True
31.828,36.782,10.1,538,0.0,,,True
35.502,46.198,10.1,443,0.0,,Marīvān(136k),False
