design,model,n_dams,n_dam_months,anom_skill_vs_clim,skill_ci_lo,skill_ci_hi,anom_r_pooled,anom_r_median_per_dam,share_dams_r_gt_0.3,annual_anom_r,level_r2_within_dam,subset,horizon_months
strict (unseen dams AND test 2019-2025),climatology,112,9124,0.0,0.0,0.0,,,0.0,,-0.03055109820798152,carryover,0
strict (unseen dams AND test 2019-2025),persistence_lag1,112,9124,0.4254767879315917,0.3676048866678635,0.4832981183496294,0.7123523103622038,0.6472875471964725,0.9553571428571429,0.996223388156135,0.39679020720293245,carryover,0
strict (unseen dams AND test 2019-2025),persistence_lag3,112,9124,-0.1875136209490318,-0.28071624798459277,-0.08203095352908142,0.4069048974243562,0.23905936512148374,0.4017857142857143,0.9782631564530896,-0.20721039207697545,carryover,0
strict (unseen dams AND test 2019-2025),damped_persistence_lag1,112,9124,0.5070809497205344,0.4640916042679977,0.5517262730329371,0.7123705276803801,0.6472875471964725,0.9553571428571429,0.9962083867305029,0.46510272544008147,carryover,0
strict (unseen dams AND test 2019-2025),damped_persistence_lag3,112,9124,0.1660241373150938,0.12239623707228789,0.21000876267270016,0.4078127261181225,0.23905936512148376,0.4017857142857143,0.9780453309213332,0.12535624857605876,carryover,0
strict (unseen dams AND test 2019-2025),area_linear_pooled,112,9124,0.08551689082520231,0.04338218776921354,0.11765526123049527,0.30804295472646853,0.2972750274914747,0.49107142857142855,0.4383165171188136,0.051655082309021716,carryover,0
strict (unseen dams AND test 2019-2025),ridge_area+climate,112,9124,0.144385734734088,0.07766325138018593,0.20470554977409955,0.39139378012397247,0.4212711915958669,0.7321428571428571,0.5342950664718039,0.11197057120939691,carryover,0
strict (unseen dams AND test 2019-2025),gbm_area,112,9124,0.07982515258448974,0.008908186781971639,0.1367232745784626,0.3348223657998799,0.30333483795881194,0.5,0.46168173219423053,0.0493777908411539,carryover,0
strict (unseen dams AND test 2019-2025),gbm_climate,112,9124,0.15401205478820035,0.10186226690626739,0.19627451251461456,0.394207348620607,0.3934739671621192,0.7053571428571429,0.5539064742737392,0.12026895524360026,carryover,0
strict (unseen dams AND test 2019-2025),gbm_area+climate,112,9124,0.1723774995299019,0.09895837730285734,0.2331143700275184,0.42937773057735945,0.4431741204872002,0.7410714285714286,0.5829740800605674,0.13745787525607756,carryover,0
strict (unseen dams AND test 2019-2025),gbm_persist3+area+climate,112,9124,0.2715903727549043,0.2193752968306888,0.3274822158649783,0.5238417716061167,0.42104624948566494,0.7232142857142857,0.83519309992619,0.22796778289869835,carryover,0
"forward (train<=2018, test 2019-2025)",climatology,112,8452,0.0,0.0,0.0,,,0.0,,,carryover,6
"forward (train<=2018, test 2019-2025)",persistence_lag0,112,8452,-0.26850768366814437,-0.46925576054831164,-0.08665287342891158,0.5562988914918886,0.36924299787843073,0.6339285714285714,0.9434701069139485,,carryover,6
"forward (train<=2018, test 2019-2025)",persistence_lag1,112,8452,-0.5072427597211118,-0.7297621046106236,-0.3061024166874576,0.45709413848410885,0.2455055009344372,0.4375,0.9369411057347129,,carryover,6
"forward (train<=2018, test 2019-2025)",persistence_lag3,112,8452,-0.7051802918404353,-0.9455940334801545,-0.483247176596245,0.3697493814521691,0.16256659656938446,0.30357142857142855,0.9180572263553909,,carryover,6
"forward (train<=2018, test 2019-2025)",damped_persistence_now,112,8452,0.307971918722289,0.2585403370662066,0.3539973225145832,0.5562988914918889,0.3692429978784306,0.6339285714285714,0.9434701069139485,,carryover,6
"forward (train<=2018, test 2019-2025)",damped_persistence_lag3,112,8452,0.13217811741792174,0.09278001344611575,0.17557048374297762,0.36974938145216896,0.1625665965693845,0.30357142857142855,0.9180572263553908,,carryover,6
