name,iso3,gww_id,month,area_km2,n_obs,a0,z,alert_on,pred_gbm_area,pred_gbm_climate,pred_gbm_area+climate,pred_lo,pred_hi,p12
Ataturk,TUR,90461,2004-06-01,646.4234798282912,2,0.0006522882768367983,,False,-0.004566210414224277,0.41427530888363245,0.40891203582458935,-0.05854322359078554,0.7903376155409905,0.3338312064776363
Ataturk,TUR,90461,2004-07-01,659.6935654545534,2,0.01569890308299781,,False,0.02750664294453593,0.41343918465360124,0.41343729047701405,-0.04499092722247875,0.9740647103540113,0.339872138009737
Ataturk,TUR,90461,2004-08-01,658.1450176679377,2,0.013797302896502227,,False,0.04563336366321847,0.4800317740750655,0.43788590692464663,-0.039930058551860506,0.8777281284592718,0.3469671682483815
Ataturk,TUR,90461,2004-09-01,654.0417888716245,2,0.01263792140974638,,False,-0.008559449420195204,0.24688885753200432,0.29743719844012717,-0.09647464902116835,0.7871078872808508,0.3051705560755791
Ataturk,TUR,90461,2004-10-01,654.210568680224,0,0.019246890824613085,,False,0.016095534438668683,0.19853769473838076,0.22097002959799847,-0.1067044741031857,0.6569885078039824,0.2007274532444002
Ataturk,TUR,90461,2004-11-01,654.3793484888236,0,0.02816737918488085,,False,0.0371184357564079,0.21498325520250133,0.2693158986571893,-0.10318603258028589,0.8548532157072158,0.2943712898826708
Ataturk,TUR,90461,2005-03-01,655.0544677232218,1,0.016686910758858135,,False,0.17027409092834755,0.2096667636336134,0.24437558443279092,-0.2319650033635135,0.6290002798228735,0.17838004399418383
Ataturk,TUR,90461,2005-04-01,656.6098207473153,1,0.0212880446055104,,False,0.13041514913271904,0.21135972866998673,0.2611225698630974,-0.16372798667387195,0.6582786888623494,0.15838299391427652
Ataturk,TUR,90461,2005-05-01,656.5320971644107,0,0.013095839795062679,,False,0.07962505590119834,0.10255944232485727,0.11571686919567709,-0.2702002622564127,0.38512595027063,0.10424296815079517
Ataturk,TUR,90461,2005-06-01,656.4543735815062,2,0.016286375570357454,,False,0.08046769814395245,0.07353465106770259,0.07814796154364492,-0.2647300323748753,0.3445340537030341,0.07161830011144982
Ataturk,TUR,90461,2005-07-01,656.002376849819,2,0.009945839967882019,,False,0.07624011899979667,0.06467759051844314,0.05671026689398602,-0.29502294985863364,0.3526250301440037,0.039747557366415436
Ataturk,TUR,90461,2005-08-01,653.6049007439378,1,0.006721105494864389,,False,0.054304352753697,0.06514870187210624,0.06609626816820488,-0.216144113126069,0.31957892207294536,0.016549404364236887
Ataturk,TUR,90461,2005-09-01,653.150528075062,1,0.011248807992979802,,False,0.010921529552653934,0.025307956570039602,-0.012569645398564719,-0.2677098857571837,0.2551455011659628,0.006434385394000878
Ataturk,TUR,90461,2005-10-01,654.8867190363031,0,0.020300734475095172,,False,0.026778312335347765,0.1739665824605958,0.174683431028561,-0.18372858952980406,0.4647682907060244,0.08127376679837671
Ataturk,TUR,90461,2005-11-01,656.6229099975442,0,0.031664179902611424,,False,0.06566121734689447,0.11077011102057834,0.122884098315329,-0.20058154861086616,0.41611178040590074,-0.05688014977957581
Ataturk,TUR,90461,2005-12-01,658.3591009587853,1,0.049515617410208185,,False,0.18069331246125703,0.0327859819160649,0.11814194659994984,-0.16996403660003304,0.3374592093006142,-0.08483339177122724
Ataturk,TUR,90461,2006-01-01,647.2870529628485,0,0.028701639224574062,,False,0.1413746273360123,0.00039948127398445045,0.01729353994487915,-0.24040203055944306,0.30060913710628995,-0.05287067504007144
