gww_id,name,reservoir_name,country,truth,lat,lon,n_plants,capacity_mw,match_method,gww_poly_km2,res_time_days,depth_avg_m,vol_mcm,dis_avg_m3s,elevation_m,wshd_km2,head_m,dam_height_m,glo_plant_type,ons_tipo,ba,state,n_area_months,area_mean,area_sd,area_p05,area_p95,area_cv,area_range_rel,pass_size,pass_months,pass_cv,storage_dam
49616,James R Smith,,USA,eia923,46.571639,-87.410455,1,3.2,gww_polygon,0.6244243468342737,,,,,,,,,,,MISO,MI,152,0.32907179745918114,0.08098622845101845,0.09104621949996948,0.462256767326755,0.2461050417456822,1.1280533631048446,False,True,True,False
49746,Hazelton B Hydro,,USA,eia923,42.6051,-114.093,1,7.6,gww_polygon,0.6271863296865258,,,,,,,8.8392,,Canal,,IPCO,ID,244,0.18157822310428065,0.03018916612499953,0.15714936165809634,0.22507080440343516,0.16625983892166324,0.3740616114870307,False,True,True,False
49998,Fellesanlegget Kykkelsrud-Fossumfoss,,Norway,none,59.579898,11.100725,1,230.0,hydrolakes_pour,0.6356317543281034,0.3,81.5,15.0,635.262,80.0,39782.3,27.0,-99.0,STO,,,,204,0.3961608247591081,0.0392670410595661,0.3567795530760574,0.48035655001494015,0.09911894010076097,0.31193643898037043,False,True,True,False
50110,Moforsen Hydroelectric Power Station Sweden - Moforsen Hydroelectric Power Station Sweden,,Sweden,none,63.36827,16.98765,1,135.0,gww_polygon,0.6384371280702412,,,,,,,28.1,,ROR,,,,171,0.4269746179933266,0.04566710874892742,0.38666334718698236,0.5287824389701394,0.10695509012585187,0.3328513822462822,False,True,True,False
50160,Parishville,Allen Falls Reservoir,USA,eia923,44.63,-74.8258,1,3.0,gww_polygon,0.6364502785150628,,,,,,,39.624,,ROR,,NYIS,NY,208,0.32706731924653387,0.026931669885341677,0.30048827411232,0.37680242806384906,0.08234289487370447,0.2333285824072373,False,True,True,False
50917,Pinet Hydroelectric Power Station France - Pinet Hydroelectric Power Station France,,France,none,44.07,2.805,1,66.5,hydrolakes_pour,0.6547741815911547,3.0,68.7,13.4,51.505,330.0,2593.3,36.4,45.0,STO,,,,226,0.39057367602127835,0.0688684472898034,0.3199168408034979,0.5466518145716499,0.1763263924782567,0.5805178067243824,False,True,True,False
50966,CHAMERA II,,India,none,32.4734,76.2552,1,300.0,gww_polygon,0.6541405321933841,,,,,,,243.0,43.0,ROR,,,,224,0.2516972866972909,0.06776950209616489,0.17664699324835642,0.41381023730836575,0.26925003040525153,0.9422558628740354,False,True,True,False
50987,LOS MOLINOS I,,Argentina,none,-31.838,-64.4452,1,59.04,gww_polygon,0.6545020354068541,,,,,,,209.69999999999996,63.0,ROR,,,,288,0.34326740244459447,0.01751682879545463,0.3221982568868061,0.37288300128113916,0.05102968901418467,0.1476538233265942,False,True,True,False
51131,Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,,France,none,45.104,1.954,1,47.5,gww_polygon,0.6606646477279787,,,,,,,,31.0,ROR,,,,220,0.3529365986966804,0.03989828848477174,0.3084975192832191,0.4438679489341958,0.11304661696210483,0.3835545255178148,False,True,True,False
51139,Twin Falls (ID),Twin Falls Reservoir,USA,eia923,42.5892,-114.3553,1,52.699999999999996,gww_polygon,0.6606415783599681,,,,,,,43.22064,,STO,,IPCO,ID,283,0.3107610414679111,0.0333096819723216,0.27239057672457534,0.37406642648945954,0.10718744478065834,0.3271833859373365,False,True,True,False
