gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
75411,Catagunya,Catagunya,Australia,AUS,-42.4524,146.5977,86.3,2026-07,2.14,0.072,0.095,-0.028,-0.109,-0.506,0.318,-0.091,False,short residence time (weak area signal),hydrolakes_pour
86855,Reece,Pieman,Australia,AUS,-41.7238,145.1359,238.0,2026-07,23.67,0.096,0.051,-0.068,-0.149,-0.532,0.252,-0.197,False,short residence time (weak area signal),hydrolakes_pour
80940,MASCARENHAS,,BRA,BRA,-19.5,-40.92,198.0,2026-07,3.51,0.025,0.028,0.039,0.027,-0.404,0.611,0.026,True,short residence time (weak area signal),hydrolakes_pour
80100,Tribute,,Australia,AUS,-41.8129,145.6538,82.8,2026-07,3.83,0.051,0.098,-0.068,-0.128,-0.551,0.353,-0.126,False,unknown residence time,gww_polygon
85993,Rannoch RANN-1,,United Kingdom,GBR,56.699001,-4.408,48.0,2026-07,18.49,-0.008,0.001,0.081,-0.046,-0.377,0.302,0.04,False,unknown residence time,gww_polygon
87392,Niululing,,China,CHN,19.01,110.2,80.0,2026-07,14.62,-0.005,-0.142,0.099,-0.141,-0.646,0.376,0.019,False,carry-over storage (validated class),hydrolakes_pour
90566,SALTO GRANDE (MITAD ARGENTINA),Grande Reservoir,Argentina,ARG,-31.2751,-57.9385,1890.0,2026-07,544.13,0.001,0.035,-0.094,-0.163,-0.589,0.153,-0.242,False,short residence time (weak area signal),hydrolakes_pour
88052,Baozhusi,,China,CHN,32.52,105.61,700.0,2026-07,41.45,0.071,0.039,0.252,0.113,-0.203,0.645,0.169,False,carry-over storage (validated class),hydrolakes_pour
86721,Hpp stejaru STEJ1 - Bicaz-Stejaru Hydroelectric Power Station Romania,,Romania,ROU,46.9386,26.1029,208.4,2026-07,24.18,-0.016,-0.018,-0.004,-0.186,-0.565,0.202,-0.073,False,carry-over storage (validated class),hydrolakes_pour
87989,JAGUARI,,BRA,BRA,-23.1925,-46.02138889,27.6,2026-07,33.25,0.006,-0.033,-0.143,-0.361,-1.043,0.355,-0.404,True,carry-over storage (validated class),hydrolakes_pour
90381,GANDHI SAGAR,Gandhisagar Reservoir,India,IND,24.6997,75.5529,115.0,2026-07,485.26,0.213,0.339,0.035,0.262,-0.593,1.094,0.484,False,carry-over storage (validated class),hydrolakes_pour
75194,Globocica (Crn Drim) Hydroelectric Power Plant Macedonia,,North Macedonia,MKD,41.3371,20.6347,42.0,2026-07,1.76,0.048,0.02,0.362,0.157,-0.288,0.647,0.287,False,short residence time (weak area signal),hydrolakes_pour
